Conditions,Elevation,Humidity,Latitude,Location,Longitude,Pressure,Temperature,Time
Partly Cloudy,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1015.24,74.91,1484418600
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1484422200
Clear,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1484425800
Partly Cloudy,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1014.66,71.98,1484429400
Clear,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1484433000
Clear,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1484436600
Partly Cloudy,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1014.77,73.3,1484440200
Foggy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1000.0,70.0,1484443800
Foggy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1484447400
Partly Cloudy,9.259319305419922,0.8,13.0826802,"Chennai,India",80.2707184,1016.89,75.92,1484451000
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1484454600
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1484458200
Mostly Cloudy,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1016.46,83.1,1484461800
Clear,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1484465400
Clear,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1484469000
Partly Cloudy,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1014.17,84.25,1484472600
Clear,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1484476200
Clear,9.259319305419922,0.65,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1484479800
Partly Cloudy,9.259319305419922,0.66,13.0826802,"Chennai,India",80.2707184,1013.62,80.51,1484483400
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1484487000
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1484490600
Partly Cloudy,9.259319305419922,0.75,13.0826802,"Chennai,India",80.2707184,1015.02,75.64,1484494200
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1484497800
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1484501400
Partly Cloudy,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1017.47,78.7,1485023400
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485027000
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485030600
Partly Cloudy,9.259319305419922,0.86,13.0826802,"Chennai,India",80.2707184,1015.85,74.99,1485034200
Foggy,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1485037800
Foggy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485041400
Partly Cloudy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1015.7,75.88,1485045000
Foggy,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1485048600
Humid and Foggy,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485052200
Partly Cloudy,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1018.03,79.67,1485055800
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1485059400
Clear,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1485063000
Partly Cloudy,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1017.86,85.27,1485066600
Clear,9.259319305419922,0.52,13.0826802,"Chennai,India",80.2707184,1000.0,88.0,1485070200
Clear,9.259319305419922,0.51,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1485073800
Partly Cloudy,9.259319305419922,0.56,13.0826802,"Chennai,India",80.2707184,1015.4,86.03,1485077400
Clear,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1485081000
Clear,9.259319305419922,0.55,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1485084600
Partly Cloudy,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1015.06,82.05,1485088200
Clear,9.259319305419922,0.6,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1485091800
Clear,9.259319305419922,0.65,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1485095400
Partly Cloudy,9.259319305419922,0.68,13.0826802,"Chennai,India",80.2707184,1017.56,78.84,1485099000
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485102600
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485106200
Humid and Mostly Cloudy,9.259319305419922,0.89,13.0826802,"Chennai,India",80.2707184,1014.24,77.21,1485628200
Humid,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485631800
Humid,9.259319305419922,0.94,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485635400
Humid and Partly Cloudy,9.259319305419922,0.94,13.0826802,"Chennai,India",80.2707184,1013.34,75.28,1485639000
Humid,9.259319305419922,0.94,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485642600
Humid,9.259319305419922,0.94,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485646200
Humid and Partly Cloudy,9.259319305419922,0.92,13.0826802,"Chennai,India",80.2707184,1013.03,75.36,1485649800
Humid and Foggy,9.259319305419922,0.94,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485653400
Humid and Foggy,9.259319305419922,0.94,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485657000
Humid and Partly Cloudy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1015.78,79.16,1485660600
Humid,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1485664200
Humid,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1485667800
Humid and Partly Cloudy,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1015.71,84.9,1485671400
Humid,9.259319305419922,0.65,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1485675000
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1485678600
Mostly Cloudy,9.259319305419922,0.64,13.0826802,"Chennai,India",80.2707184,1013.09,84.74,1485682200
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1485685800
Humid,9.259319305419922,0.72,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1485689400
Partly Cloudy,9.259319305419922,0.72,13.0826802,"Chennai,India",80.2707184,1013.2,81.26,1485693000
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1485696600
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1485700200
Partly Cloudy,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1015.01,77.29,1485703800
Clear,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485707400
Clear,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1485711000
Partly Cloudy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1014.67,73.2,1486233000
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1486236600
Foggy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1486240200
Foggy,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1013.56,71.93,1486243800
Foggy,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486247400
Foggy,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486251000
Foggy,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1014.06,71.46,1486254600
Foggy,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486258200
Foggy,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1486261800
Mostly Cloudy,9.259319305419922,0.71,13.0826802,"Chennai,India",80.2707184,1015.83,76.29,1486265400
Foggy,9.259319305419922,0.55,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1486269000
Clear,9.259319305419922,0.55,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1486272600
Partly Cloudy,9.259319305419922,0.42,13.0826802,"Chennai,India",80.2707184,1015.27,85.11,1486276200
Clear,9.259319305419922,0.46,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1486279800
Clear,9.259319305419922,0.43,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1486283400
Clear,9.259319305419922,0.44,13.0826802,"Chennai,India",80.2707184,1012.44,86.13,1486287000
Clear,9.259319305419922,0.43,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1486290600
Clear,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1486294200
Clear,9.259319305419922,0.5,13.0826802,"Chennai,India",80.2707184,1012.21,81.83,1486297800
Clear,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1486301400
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1486305000
Partly Cloudy,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1014.49,75.42,1486308600
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1486312200
Clear,9.259319305419922,0.73,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1486315800
Partly Cloudy,9.259319305419922,0.71,13.0826802,"Chennai,India",80.2707184,1015.1,74.86,1486837800
Clear,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486841400
Clear,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486845000
Mostly Cloudy,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1013.61,72.86,1486848600
Clear,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486852200
Clear,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486855800
Partly Cloudy,9.259319305419922,0.75,13.0826802,"Chennai,India",80.2707184,1014.21,73.07,1486859400
Foggy,9.259319305419922,0.76,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1486863000
Foggy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1486866600
Mostly Cloudy,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1017.01,76.26,1486870200
Clear,9.259319305419922,0.53,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1486873800
Clear,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1486877400
Partly Cloudy,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1017.35,85.05,1486881000
Clear,9.259319305419922,0.43,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1486884600
Clear,9.259319305419922,0.4,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1486888200
Partly Cloudy,9.259319305419922,0.41,13.0826802,"Chennai,India",80.2707184,1014.46,86.3,1486891800
Clear,9.259319305419922,0.43,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1486895400
Clear,9.259319305419922,0.49,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1486899000
Clear,9.259319305419922,0.54,13.0826802,"Chennai,India",80.2707184,1014.16,82.38,1486902600
Clear,9.259319305419922,0.6,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1486906200
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1486909800
Clear,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1016.49,77.13,1486913400
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1486917000
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1486920600
Partly Cloudy,9.259319305419922,0.8,13.0826802,"Chennai,India",80.2707184,1016.48,75.06,1487442600
Clear,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1487446200
Clear,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1487449800
Partly Cloudy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1014.88,72.12,1487453400
Foggy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1487457000
Foggy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1000.0,72.0,1487460600
Foggy,9.259319305419922,0.89,13.0826802,"Chennai,India",80.2707184,1014.5,70.96,1487464200
Foggy,9.259319305419922,0.93,13.0826802,"Chennai,India",80.2707184,1000.0,70.0,1487467800
Foggy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1487471400
Partly Cloudy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1016.28,75.48,1487475000
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1487478600
Clear,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1487482200
Partly Cloudy,9.259319305419922,0.56,13.0826802,"Chennai,India",80.2707184,1015.62,84.79,1487485800
Clear,9.259319305419922,0.52,13.0826802,"Chennai,India",80.2707184,1000.0,88.0,1487489400
Clear,9.259319305419922,0.52,13.0826802,"Chennai,India",80.2707184,1000.0,90.0,1487493000
Clear,9.259319305419922,0.52,13.0826802,"Chennai,India",80.2707184,1011.89,87.86,1487496600
Clear,9.259319305419922,0.55,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1487500200
Clear,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1487503800
Mostly Cloudy,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1012.05,82.39,1487507400
Clear,9.259319305419922,0.69,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1487511000
Clear,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1487514600
Partly Cloudy,9.259319305419922,0.75,13.0826802,"Chennai,India",80.2707184,1013.76,78.71,1487518200
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1487521800
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,77.0,1487525400
Partly Cloudy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1013.54,75.49,1488047400
Clear,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1488051000
Clear,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1488054600
Partly Cloudy,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1011.52,74.71,1488058200
Humid,9.259319305419922,0.97,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1488061800
Humid and Foggy,9.259319305419922,0.97,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1488065400
Partly Cloudy,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1010.85,73.93,1488069000
Humid and Foggy,9.259319305419922,0.97,13.0826802,"Chennai,India",80.2707184,1000.0,73.0,1488072600
Foggy,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1488076200
Mostly Cloudy,9.259319305419922,0.86,13.0826802,"Chennai,India",80.2707184,1012.88,75.79,1488079800
Humid,9.259319305419922,0.77,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1488083400
Humid,9.259319305419922,0.72,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488087000
Mostly Cloudy,9.259319305419922,0.63,13.0826802,"Chennai,India",80.2707184,1013.26,84.47,1488090600
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1488094200
Clear,9.259319305419922,0.67,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1488097800
Mostly Cloudy,9.259319305419922,0.61,13.0826802,"Chennai,India",80.2707184,1010.53,85.31,1488101400
Humid,9.259319305419922,0.72,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488105000
Humid,9.259319305419922,0.72,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488108600
Mostly Cloudy,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1010.32,82.67,1488112200
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1488115800
Clear,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1488119400
Humid and Mostly Cloudy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1012.23,77.48,1488123000
Humid,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1488126600
Clear,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1000.0,75.0,1488130200
Humid and Mostly Cloudy,9.259319305419922,0.86,13.0826802,"Chennai,India",80.2707184,1010.25,81.37,1488652200
Humid,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1488655800
Humid,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1488659400
Humid and Partly Cloudy,9.259319305419922,0.84,13.0826802,"Chennai,India",80.2707184,1008.8,80.44,1488663000
Humid,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1488666600
Humid,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1488670200
Humid and Partly Cloudy,9.259319305419922,0.83,13.0826802,"Chennai,India",80.2707184,1008.34,79.96,1488673800
Humid,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1488677400
Humid,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488681000
Humid and Mostly Cloudy,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1010.1,81.75,1488684600
Humid,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1488688200
Humid,9.259319305419922,0.61,13.0826802,"Chennai,India",80.2707184,1000.0,88.0,1488691800
Humid and Mostly Cloudy,9.259319305419922,0.56,13.0826802,"Chennai,India",80.2707184,1009.79,90.38,1488695400
Humid,9.259319305419922,0.6,13.0826802,"Chennai,India",80.2707184,1000.0,91.0,1488699000
Humid,9.259319305419922,0.66,13.0826802,"Chennai,India",80.2707184,1000.0,90.0,1488702600
Humid and Partly Cloudy,9.259319305419922,0.61,13.0826802,"Chennai,India",80.2707184,1006.68,90.53,1488706200
Humid,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1000.0,88.0,1488709800
Humid,9.259319305419922,0.66,13.0826802,"Chennai,India",80.2707184,1000.0,88.0,1488713400
Humid,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1006.47,85.67,1488717000
Humid,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488720600
Humid,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488724200
Humid and Partly Cloudy,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1008.67,81.99,1488727800
Humid,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488731400
Humid,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1488735000
Humid and Partly Cloudy,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1011.14,83.8,1489257000
Humid,9.259319305419922,0.85,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1489260600
Humid,9.259319305419922,0.91,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1489264200
Humid and Partly Cloudy,9.259319305419922,0.9,13.0826802,"Chennai,India",80.2707184,1009.09,82.01,1489267800
Humid,9.259319305419922,0.91,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1489271400
Humid,9.259319305419922,0.91,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1489275000
Humid and Partly Cloudy,9.259319305419922,0.87,13.0826802,"Chennai,India",80.2707184,1008.89,81.81,1489278600
Humid,9.259319305419922,0.91,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1489282200
Humid,9.259319305419922,0.8,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1489285800
Humid and Partly Cloudy,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1011.73,85.06,1489289400
Humid,9.259319305419922,0.56,13.0826802,"Chennai,India",80.2707184,1000.0,93.0,1489293000
Humid,9.259319305419922,0.6,13.0826802,"Chennai,India",80.2707184,1000.0,93.0,1489296600
Humid and Mostly Cloudy,9.259319305419922,0.59,13.0826802,"Chennai,India",80.2707184,1011.45,92.35,1489300200
Humid,9.259319305419922,0.6,13.0826802,"Chennai,India",80.2707184,1000.0,93.0,1489303800
Humid,9.259319305419922,0.56,13.0826802,"Chennai,India",80.2707184,1000.0,93.0,1489307400
Humid and Partly Cloudy,9.259319305419922,0.52,13.0826802,"Chennai,India",80.2707184,1008.6,93.5,1489311000
Humid,9.259319305419922,0.54,13.0826802,"Chennai,India",80.2707184,1000.0,91.0,1489314600
Humid,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1000.0,90.0,1489318200
Humid and Partly Cloudy,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1008.07,88.07,1489321800
Humid,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1489325400
Humid,9.259319305419922,0.7,13.0826802,"Chennai,India",80.2707184,1000.0,86.0,1489329000
Humid and Partly Cloudy,9.259319305419922,0.81,13.0826802,"Chennai,India",80.2707184,1010.58,83.99,1489332600
Humid,9.259319305419922,0.8,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1489336200
Humid,9.259319305419922,0.8,13.0826802,"Chennai,India",80.2707184,1000.0,84.0,1489339800
Humid and Partly Cloudy,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1012.02,82.08,1489861800
Humid,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1489865400
Humid,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1489869000
Humid and Partly Cloudy,9.259319305419922,0.83,13.0826802,"Chennai,India",80.2707184,1010.61,80.64,1489872600
Humid,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1489876200
Humid,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1000.0,79.0,1489879800
Humid and Partly Cloudy,9.259319305419922,0.88,13.0826802,"Chennai,India",80.2707184,1011.32,79.46,1489883400
Humid,9.259319305419922,0.82,13.0826802,"Chennai,India",80.2707184,1000.0,81.0,1489887000
Humid,9.259319305419922,0.79,13.0826802,"Chennai,India",80.2707184,1000.0,82.0,1489890600
Humid and Partly Cloudy,9.259319305419922,0.74,13.0826802,"Chennai,India",80.2707184,1012.89,84.27,1489894200
Humid,9.259319305419922,0.62,13.0826802,"Chennai,India",80.2707184,1000.0,90.0,1489897800
Humid,9.259319305419922,0.51,13.0826802,"Chennai,India",80.2707184,1000.0,93.0,1489901400
